Country,State,Year,Youth Hostel Locations,"Youth Hostels Constructed (UOM:Number), Scaling Factor:1"
India,Goa,"Financial Year (Apr - Mar), 2016","Panaji, PeddemMapusa",2.0000000000000000
India,Gujarat,"Financial Year (Apr - Mar), 2016",Gandhinagar,1.00000000000000000000
India,Haryana,"Financial Year (Apr - Mar), 2016","Bhiwani, Gurgaon, Kurukshetra, Panchkula, RewariSirsa, Yamuna Nagar",7.0000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",Dalhousie,1.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","Patintop (Udhampur), Srinagar",2.0000000000000000
India,Karnataka,"Financial Year (Apr - Mar), 2016","Hassan, Mysore, Sogalu, Tirtharameshwar",4.0000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2016","Calicut (Kozhikode), Ernakulam (Kochi), Trivandrum",3.0000000000000000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","Bhopal, Jabalpur, Khajuraho",3.0000000000000000
India,Maharashtra,"Financial Year (Apr - Mar), 2016",Aurangabad,1.00000000000000000000
India,Manipur,"Financial Year (Apr - Mar), 2016","Imphal, Churachandpur, Thoubal",3.0000000000000000
India,Meghalaya,"Financial Year (Apr - Mar), 2016",Shillong,1.00000000000000000000
India,Mizoram,"Financial Year (Apr - Mar), 2016",Aizwal,1.00000000000000000000
India,Nagaland,"Financial Year (Apr - Mar), 2016",Dimapur,1.00000000000000000000
India,Odisha,"Financial Year (Apr - Mar), 2016","Gopalpur-on-Sea, Joshipur, Koraput, Puri",4.0000000000000000
India,Puducherry,"Financial Year (Apr - Mar), 2016",Puducherry,1.00000000000000000000
India,Punjab,"Financial Year (Apr - Mar), 2016","Amritsar, Jalandhar, Patiala, Ropar, Sangrur, Tarn Taran",6.0000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2016","Ajmer, Jaipur, Jodhpur, Udaipur",4.0000000000000000
India,Sikkim,"Financial Year (Apr - Mar), 2016",Gangtok,1.00000000000000000000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","Chennai, Madurai, Ooty, Thanjavaur, Trichy",5.0000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2016",Agartala,1.00000000000000000000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","Agra, Lucknow",2.0000000000000000
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","Badrinath, Mussoorie, Nainital, Uttarkashi",4.0000000000000000
India,West Bengal,"Financial Year (Apr - Mar), 2016",Darjeeling,1.00000000000000000000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015",Port Blair,1.00000000000000000000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015","Nagarjunasagar, Secunderabad, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram, Warangal, Kadapa",8.0000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",Naharlagun,1.00000000000000000000
India,Assam,"Financial Year (Apr - Mar), 2015","Guwahati,Tezpur",2.0000000000000000
India,Bihar,"Financial Year (Apr - Mar), 2015",Patna,1.00000000000000000000
India,Goa,"Financial Year (Apr - Mar), 2015","Panaji, PeddemMapusa",2.0000000000000000
India,Gujarat,"Financial Year (Apr - Mar), 2015",Gandhinagar,1.00000000000000000000
India,Haryana,"Financial Year (Apr - Mar), 2015","Bhiwani, Gurgaon, Kurukshetra, Panchkula, RewariSirsa, Yamuna Nagar",7.0000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",Dalhousie,1.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015","Patintop (Udhampur), Srinagar",2.0000000000000000
India,Karnataka,"Financial Year (Apr - Mar), 2015","Hassan, Mysore, Sogalu, Tirtharameshwar",4.0000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2015","Calicut (Kozhikode), Ernakulam (Kochi), Trivandrum",3.0000000000000000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015","Bhopal, Jabalpur, Khajuraho",3.0000000000000000
India,Maharashtra,"Financial Year (Apr - Mar), 2015",Aurangabad,1.00000000000000000000
India,Manipur,"Financial Year (Apr - Mar), 2015","Imphal, Churachandpur, Thoubal",3.0000000000000000
India,Meghalaya,"Financial Year (Apr - Mar), 2015",Shillong,1.00000000000000000000
India,Mizoram,"Financial Year (Apr - Mar), 2015",Aizwal,1.00000000000000000000
India,Nagaland,"Financial Year (Apr - Mar), 2015",Dimapur,1.00000000000000000000
India,Odisha,"Financial Year (Apr - Mar), 2015","Gopalpur-on-Sea, Joshipur, Koraput, Puri",4.0000000000000000
India,Puducherry,"Financial Year (Apr - Mar), 2015",Puducherry,1.00000000000000000000
India,Punjab,"Financial Year (Apr - Mar), 2015","Amritsar, Jalandhar, Patiala, Ropar, Sangrur, Tarn Taran",6.0000000000000000
